key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
25,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
26,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
27,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
28,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
29,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
30,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
31,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
32,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
33,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
34,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
35,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
36,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
37,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
38,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
39,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
40,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
41,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
42,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
43,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
44,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
45,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
46,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
47,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
48,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
49,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
50,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
51,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
52,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
53,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
54,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
55,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
56,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
57,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
58,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
59,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
60,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
61,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
62,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
63,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
64,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
65,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
66,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
67,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
68,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
69,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
70,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
71,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
72,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
73,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
74,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
75,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
76,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
77,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
78,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
79,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
80,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
81,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
82,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
83,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
84,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
85,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
86,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
87,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
88,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
89,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
90,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
91,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
92,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
93,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
94,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
95,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
96,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
97,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
98,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
99,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
100,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
101,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
102,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
103,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
104,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
105,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
106,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
107,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
108,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
109,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
110,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
111,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
112,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
113,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
114,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
115,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
116,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
117,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
118,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
119,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
120,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
121,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
122,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
123,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
124,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
125,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
126,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
127,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
128,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
129,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
130,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
131,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
132,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
133,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
134,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
135,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
136,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
137,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
138,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
139,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
140,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
141,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
142,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
143,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
144,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
145,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
146,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
147,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
148,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
149,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
150,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
151,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
152,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
153,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
154,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
155,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
156,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
157,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
158,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
159,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
160,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
161,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
162,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
163,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
164,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
165,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
166,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
167,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
168,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
169,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
170,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
171,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
172,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
173,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
174,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
175,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
176,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
177,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
178,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
179,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
180,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
181,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
182,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
183,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
184,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
185,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
186,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
187,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
188,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
189,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
190,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
191,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
192,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
193,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
194,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
195,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
196,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
197,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
198,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
199,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
200,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
201,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
202,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
203,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
204,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
205,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
206,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
207,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
208,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
209,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
210,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
211,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
212,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
213,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
214,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
215,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
216,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
217,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
218,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
219,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
220,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
221,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
222,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
223,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
224,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
225,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
226,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
227,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
228,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
229,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
230,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
231,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
232,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
233,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
234,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
235,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
236,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
237,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
238,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
239,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
240,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
241,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
242,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
243,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
244,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
245,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
246,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
247,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
248,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
249,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
250,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
251,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
252,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
253,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
254,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
255,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
256,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
257,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
258,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
259,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
260,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
261,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
262,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
263,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
264,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
265,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
266,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
267,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
268,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
269,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
270,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
271,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
272,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
273,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
274,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
275,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
276,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
277,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
278,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
279,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
280,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
281,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
282,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
283,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
284,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
285,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
286,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
287,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
288,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
289,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
290,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
291,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
292,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
293,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
294,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
295,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
296,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
297,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
298,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
299,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
300,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
301,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
302,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
303,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
304,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
305,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
306,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
307,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
308,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
309,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
310,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
311,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
312,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
313,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
314,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
315,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
316,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
317,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
318,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
319,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
320,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
321,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
322,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
323,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
324,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
325,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
326,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
327,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
328,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
329,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
330,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
331,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
332,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
333,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
334,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
335,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
336,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
337,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
338,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
339,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
340,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
341,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
