key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
13,"","","","","",0,1,False,True,3,True,30,30,0,0,112282,0,0,0,0,0,0,23,146,6,3,1,-1,6,1,6,0,False,False,True,True,0,40010,False,0
14,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0
15,"","","","","",0,0,False,True,1,False,50,50,70,0,112259,9,100,100,50,0,0,8,142,5,0,0,9,1,0,120,0,True,True,False,False,2,0,False,0
16,"","","","","",0,2,False,True,3,True,30,30,0,0,112288,0,0,0,0,0,0,24,146,21,1,4,-1,6,1,6,0,False,False,False,True,0,40022,False,0
17,"","","","","",1,0,False,True,1,False,60,60,170,0,112294,10,80,60,20,0,0,9,142,3,0,0,10,1,0,90,0,True,True,False,False,2,0,False,0
18,"","","","","",0,0,True,True,4,False,1,0,0,0,112086,0,0,0,0,0,0,32,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0
19,"","","","","",0,0,True,True,4,False,1,0,0,0,112084,0,0,0,0,0,0,33,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0
20,"","","","","",0,0,True,True,4,False,1,0,0,0,112085,0,0,0,0,0,0,34,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0
21,"","","","","",0,0,True,True,4,False,1,0,0,0,112295,0,0,0,0,0,0,31,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0
22,"","","","","",0,0,True,True,4,False,1,0,0,0,112086,0,0,0,0,0,0,36,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0
23,"","","","","",0,0,True,True,4,False,1,0,0,0,112084,0,0,0,0,0,0,37,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0
24,"","","","","",0,0,True,True,4,False,1,0,0,0,112085,0,0,0,0,0,0,38,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0
25,"","","","","",0,0,True,True,4,False,1,0,0,0,112295,0,0,0,0,0,0,35,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0
26,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,34,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
27,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,35,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
28,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,36,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
29,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,37,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
30,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,38,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
31,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,39,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
32,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,40,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
33,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,41,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
34,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,42,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
35,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,43,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
36,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,44,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
37,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,45,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
38,"","","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,46,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0
39,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0
